TOT_OA_CD,ADM_CD,Admin,Abs_mean,dRL_mean,dNB_mean,SAVI,DEM,Elderly_Ratio,Old_housing_Ratio,cx,cy,Z_Abs,Z_Elderly,Z_dNB,Z_Old,Z_dRL,Track1_Score,Track2_Score
24040720020001,24040720.0,24040720,41.1403,3.05673,-0.00647,0.22921,53.849,20.4,3.3999999999999995,946113.85,1687664.09,0.3595,-0.16755,-0.35043,1.31259,1.28915,0.19195,2.25131
24040710011102,24040710.0,24040710,41.436,2.39411,0.0252,0.17448,60.992,37.5,0.4,944642.42,1688649.8,0.46634,0.83476,1.41224,-0.41954,0.91075,1.3011,1.90345
24040620010501,24040620.0,24040620,39.1357,-2.47992,0.01925,0.15003,50.304,62.0,0.5,947142.42,1687399.8,-0.36474,2.27083,1.08108,-0.3618,-1.87266,1.90609,-1.15338
24040650010001,24040650.0,24040650,42.5173,2.32917,0.00963,0.15443,77.57,17.4,1.4,947492.42,1688399.8,0.857,-0.34339,0.54565,0.15784,0.87367,0.51361,1.57716
24040800020101,24040800.0,양산동,41.3103,-0.97531,0.01796,0.155,37.322,18.2,0.4,943142.42,1689549.8,0.42092,-0.2965,1.00928,-0.41954,-1.01342,0.12442,-0.42368
24040670010010,24040670.0,24040670,43.5632,2.17749,0.01117,0.13992,49.775,31.5,1.9,947875.75,1686416.47,1.23487,0.48308,0.63137,0.44653,0.78705,1.71795,1.86495
24040710011601,24040710.0,24040710,42.1247,2.44277,0.02788,0.12232,48.157,14.9,0.8,944842.42,1688649.8,0.71516,-0.48993,1.5614,-0.18859,0.93854,0.22523,2.31135
24040810040003,24040810.0,건국동,32.1149,-2.98563,0.00512,0.48729,37.525,91.40000000000074,1.3000000000000038,946529.65,1695130.41,-2.90128,3.9941,0.29464,0.1001,-2.16145,1.09282,-1.76671
24040800010007,24040800.0,양산동,39.4813,0.44921,0.016,0.37989,64.783,15.0,1.400000000000003,943844.09,1689403.97,-0.23987,-0.48407,0.90019,0.15784,-0.19992,-0.72394,0.85811
24040680020001,24040680.0,두암2동,43.8135,2.49334,0.0047,0.13724,65.226,26.3,2.1,948492.42,1686599.8,1.3253,0.17828,0.27126,0.562,0.96742,1.50358,1.80068
24040670010003,24040670.0,24040670,44.0078,2.40192,0.00705,0.14429,48.967,33.7,1.8,947842.42,1686249.8,1.3955,0.61203,0.40206,0.38879,0.91521,2.00753,1.70606
24040680010002,24040680.0,두암2동,41.2221,0.79181,-0.00185,0.16631,54.016,27.4,2.3000000000000003,947917.42,1686862.3,0.38906,0.24276,-0.09329,0.67748,-0.00427,0.63182,0.57992
24040810050002,24040810.0,건국동,33.5602,-0.52891,-0.00234,0.45453,24.151,34.899999999999785,2.600000000000015,943452.18,1693069.92,-2.37911,0.68237,-0.12057,0.85069,-0.7585,-1.69674,-0.02838
24040640010003,24040640.0,문흥동,43.009,2.36919,0.00791,0.2348,66.847,9.600000000000003,0.8000000000000004,948565.28,1687846.94,1.03465,-0.80059,0.44992,-0.18859,0.89652,0.23406,1.15785
24040680010008,24040680.0,두암2동,43.5919,2.7485,0.01466,0.16427,67.13,27.0,1.7,948342.42,1687166.47,1.24524,0.21931,0.82561,0.33105,1.11313,1.46455,2.26979
24040820020102,24040820.0,신용동,38.5308,1.01262,0.02156,0.20382,21.125,6.9,0.0,942242.42,1690999.8,-0.58328,-0.95885,1.20965,-0.65049,0.12182,-1.54213,0.68098
24040810010002,24040810.0,건국동,40.3551,0.15506,0.01976,0.21338,39.86,19.6,3.100000000000001,943709.09,1691558.13,0.07582,-0.21444,1.10946,1.13938,-0.3679,-0.13862,1.88094
24040720010002,24040720.0,24040720,36.0214,1.76569,-0.00024,0.41991,74.944,16.700000000000017,2.7,946962.06,1688651.59,-1.4899,-0.38442,-0.00368,0.90843,0.55188,-1.87432,1.45663
24040680010009,24040680.0,두암2동,42.8549,1.24721,0.00024,0.14509,62.684,21.6,2.5,948022.42,1687299.8,0.97897,-0.09721,0.02303,0.79295,0.25579,0.88176,1.07177
24040700010001,24040700.0,삼각동,33.4502,-0.0563,-0.00553,0.5012,103.94,61.20000000000024,2.7000000000000024,946256.89,1690112.78,-2.41885,2.22394,-0.29811,0.90843,-0.4886,-0.19491,0.12172
24040570040014,24040570.0,임동,43.1055,2.15644,0.00653,0.12592,37.035,9.8,3.6,945192.42,1687049.8,1.06951,-0.78887,0.37312,1.42807,0.77503,0.28064,2.57622
24040820020001,24040820.0,신용동,41.8459,2.70575,0.03021,0.1341,20.788,4.5,0.0,942242.42,1690499.8,0.61443,-1.09952,1.69108,-0.65049,1.08872,-0.48509,2.12931
24040800021401,24040800.0,양산동,38.9497,-0.74532,0.0155,0.23616,45.161,11.3,0.6,942642.42,1690449.8,-0.43194,-0.70094,0.87236,-0.30406,-0.88208,-1.13288,-0.31378
24040620010010,24040620.0,24040620,40.2675,-1.22138,0.00451,0.183,52.765,56.5,2.0,947317.42,1687249.8,0.04417,1.94845,0.26069,0.50426,-1.15394,1.99262,-0.38899
24040640010007,24040640.0,문흥동,43.7809,2.22648,-0.00118,0.14865,72.6,21.9,3.6,948542.42,1687149.8,1.31353,-0.07963,-0.056,1.42807,0.81502,1.2339,2.18709
24040680010011,24040680.0,두암2동,43.6566,2.38354,0.01335,0.15014,63.201,23.7,1.6000000000000003,948242.42,1687083.13,1.26862,0.02588,0.7527,0.27331,0.90472,1.2945,1.93073
24040710011201,24040710.0,24040710,41.3025,2.08886,0.01394,0.19684,54.892,23.2,0.4,944742.42,1688649.8,0.41811,-0.00343,0.78554,-0.41954,0.73643,0.41468,1.10243
24040640010103,24040640.0,문흥동,41.7991,2.60404,0.01545,0.20266,67.008,35.8,0.9,948442.42,1687549.8,0.59752,0.73512,0.86958,-0.13085,1.03064,1.33264,1.76937
24040700020304,24040700.0,삼각동,39.7419,2.54323,0.02784,0.18525,65.575,12.9,0.5,945142.42,1689049.8,-0.14572,-0.60716,1.55917,-0.3618,0.99591,-0.75288,2.19328
