id,left,top,right,bottom,row_index,col_index,LST20_mean,LST25_mean,dLST_mean,dNDBI_mean,SAVI20_mea,SAVI25_mea,dSAVI,DEM_mean
952,939992.4194,1693399.8,940092.4194,1693299.8,27,6,3.149844272,-1.541151915,-4.690996238,0.220274473,0.609068961,0.214795864,-0.394273097,41.7
953,939992.4194,1693299.8,940092.4194,1693199.8,28,6,2.634082657,-0.568322826,-3.202405421,0.317548588,0.68181242,0.117021572,-0.564790847,44.24166667
956,939992.4194,1692999.8,940092.4194,1692899.8,31,6,6.854146123,1.640402138,-5.213744044,-0.020611749,0.389537697,0.428779758,0.039242061,31.025
957,939992.4194,1692899.8,940092.4194,1692799.8,32,6,6.156369495,1.543529749,-4.61283989,-0.033257874,0.388361124,0.37160079,-0.016760334,32.35
958,939992.4194,1692799.8,940092.4194,1692699.8,33,6,5.541711926,2.608353198,-2.933358729,-0.013977408,0.399348097,0.410994956,0.011646858,33.59166667
959,939992.4194,1692699.8,940092.4194,1692599.8,34,6,5.925563773,2.313759863,-3.61180383,-0.019468041,0.24487287,0.252510455,0.007637585,32.71666667
960,939992.4194,1692599.8,940092.4194,1692499.8,35,6,5.508524656,1.946944137,-3.561580439,-0.025964376,0.3456676,0.34623411,0.00056651,33.975
961,939992.4194,1692499.8,940092.4194,1692399.8,36,6,5.130426466,2.376773112,-2.753653347,-0.001025012,0.363887976,0.389131208,0.025243232,31.00740741
962,939992.4194,1692399.8,940092.4194,1692299.8,37,6,4.69676515,2.40428928,-2.292475854,-0.006744986,0.44494452,0.472106284,0.027161764,28.18248175
1009,939992.4194,1687699.8,940092.4194,1687599.8,84,6,5.784745345,4.082971039,-1.701774281,0.00779699,0.197504612,0.228009811,0.030505199,22.81666667
1010,939992.4194,1687599.8,940092.4194,1687499.8,85,6,3.084806597,1.063323042,-2.021483548,-0.019792378,0.423253838,0.393816818,-0.029437021,19.32
1011,939992.4194,1687499.8,940092.4194,1687399.8,86,6,-2.49021697,-4.506925007,-2.016707967,0.00052595,0.126575614,0.159280132,0.032704518,14.26923077
1012,939992.4194,1687399.8,940092.4194,1687299.8,87,6,0.636532433,-2.126526465,-2.763058906,-0.039291711,0.357674764,0.445278887,0.087604123,16.16153846
1013,939992.4194,1687299.8,940092.4194,1687199.8,88,6,1.197549743,-0.560066238,-1.757615975,-0.06275924,0.448700169,0.584150523,0.135450354,16.08130081
1014,939992.4194,1687199.8,940092.4194,1687099.8,89,6,1.79105452,1.525009133,-0.26604532,-0.033583939,0.459221581,0.564509554,0.105287973,18.825
1105,940092.4194,1693499.8,940192.4194,1693399.8,26,7,4.916186379,-2.856764603,-7.772951295,0.155459616,0.653253338,0.250574406,-0.402678931,34.05833333
1106,940092.4194,1693399.8,940192.4194,1693299.8,27,7,3.187466361,-2.365421439,-5.5528878,0.239529863,0.711230419,0.183828193,-0.527402226,37.35833333
1112,940092.4194,1692799.8,940192.4194,1692699.8,33,7,5.224300027,2.256138146,-2.968161762,0.021895299,0.423752363,0.430559544,0.00680718,33.5546875
1113,940092.4194,1692699.8,940192.4194,1692599.8,34,7,5.929388563,1.543074022,-4.386314591,-0.043651943,0.324419161,0.327640811,0.003221651,34.05384615
1114,940092.4194,1692599.8,940192.4194,1692499.8,35,7,6.078520099,2.230096042,-3.848424037,-0.04647465,0.390930133,0.417229822,0.026299689,36.11538462
1115,940092.4194,1692499.8,940192.4194,1692399.8,36,7,4.660509691,1.669398341,-2.991111398,0.008590193,0.478748574,0.532415459,0.053666885,28.49586777
1116,940092.4194,1692399.8,940192.4194,1692299.8,37,7,3.707553625,0.942486475,-2.765067101,-0.01277452,0.520537661,0.558236372,0.037698711,26.275
1163,940092.4194,1687699.8,940192.4194,1687599.8,84,7,6.35537982,6.235290289,-0.120089278,0.004227452,0.205884492,0.181665547,-0.024218945,22.93846154
1164,940092.4194,1687599.8,940192.4194,1687499.8,85,7,2.410287786,0.448845197,-1.961442618,-0.020074673,0.294350631,0.303561069,0.009210438,19.232
