id,left,top,right,bottom,row_index,col_index,20R_mean,25R_mean,dRL_mean,dNB_mean,Abs_mean,BASE_DATE,ADM_CD,TOT_OA_CD,Elderly_Ratio,Old_housing_Ratio,SAVI,DEM
1474,940275.9156,1687399.909,940375.9156,1687299.909,87,9,-2.50185 ,-4.73255 ,-2.23070 ,-0.04797 ,28.84442 ,20250630 ,24040610 ,24040610020002 ,36.10000 ,2.70000 ,0.364786672,23.95462728
4049,941975.9156,1691699.909,942075.9156,1691599.909,44,26,-1.79069 ,-3.17282 ,-1.38213 ,-0.01471 ,30.40416 ,20250630 ,24040820 ,24040820050002 ,0.00000 ,7.70000 ,0.374070324,22.87717361
4553,942275.9156,1687499.909,942375.9156,1687399.909,86,29,-1.41672 ,-0.57302 ,0.84370 ,0.03480 ,33.00396 ,20250630 ,24040600 ,24040600020002 ,24.30000 ,3.10000 ,0.380645675,66.67223065
6864,943775.9156,1687399.909,943875.9156,1687299.909,87,44,-1.36507 ,-0.43036 ,0.93472 ,0.02394 ,33.14662 ,20250630 ,24040590 ,24040590010003 ,49.40000 ,2.20000 ,0.385172825,51.45128755
8805,945075.9156,1693499.909,945175.9156,1693399.909,26,57,-1.27943 ,-1.95273 ,-0.67329 ,0.00511 ,31.62425 ,20250630 ,24040810 ,24040810040002 ,38.60000 ,1.70000 ,0.402744824,29.07750783
6547,943575.9156,1688299.909,943675.9156,1688199.909,78,42,-0.79526 ,0.26328 ,1.05855 ,0.02024 ,33.84026 ,20250630 ,24040710 ,24040710010002 ,8.60000 ,1.10000 ,0.356631411,52.56192121
4976,942575.9156,1691399.909,942675.9156,1691299.909,47,32,-0.56368 ,0.96116 ,1.52483 ,-0.02928 ,34.53813 ,20250630 ,24040820 ,24040820050205 ,5.30000 ,0.50000 ,0.367538273,46.84308842
4975,942575.9156,1691499.909,942675.9156,1691399.909,46,32,-0.53936 ,1.49464 ,2.03400 ,0.09385 ,35.07162 ,20250630 ,24040810 ,24040810050302 ,4.40000 ,0.00000 ,0.219785764,44.16666667
5431,942875.9156,1692099.909,942975.9156,1691999.909,40,35,-0.52971 ,-2.00424 ,-1.47453 ,-0.01336 ,31.57273 ,20250630 ,24040810 ,24040810050001 ,20.60000 ,1.90000 ,0.373194171,33.287668
189,939475.9156,1692699.909,939575.9156,1692599.909,34,1,-0.48297 ,-1.85349 ,-1.37052 ,0.00421 ,31.72348 ,20250630 ,24040810 ,24040810020002 ,0.00000 ,0.80000 ,0.363449196,30.67840769
8258,944675.9156,1686599.909,944775.9156,1686499.909,95,53,-0.18204 ,1.02258 ,1.20462 ,-0.02885 ,34.59955 ,20250630 ,24040560 ,24040560010001 ,15.90000 ,1.50000 ,0.346757655,46.13776016
5129,942675.9156,1691499.909,942775.9156,1691399.909,46,33,0.02648 ,1.63450 ,1.60802 ,0.05947 ,35.21147 ,20250630 ,24040810 ,24040810050301 ,2.30000 ,0.00000 ,0.166790889,41.3125
3136,941375.9156,1690599.909,941475.9156,1690499.909,55,20,0.08231 ,1.09851 ,1.01620 ,-0.01399 ,34.67549 ,20250630 ,24040820 ,24040820030303 ,38.30000 ,0.00000 ,0.366712373,19.625
4713,942375.9156,1686899.909,942475.9156,1686799.909,92,30,0.35768 ,2.11816 ,1.76048 ,-0.02997 ,35.69514 ,20250630 ,24040580 ,24040580010003 ,12.00000 ,8.80000 ,0.346231944,54.33842239
8377,944775.9156,1690099.909,944875.9156,1689999.909,60,54,0.44051 ,1.85483 ,1.41432 ,0.03225 ,35.43180 ,20250630 ,24040780 ,24040780010003 ,50.60000 ,3.40000 ,0.230744396,56.87492483
13327,947975.9156,1687899.909,948075.9156,1687799.909,82,86,0.68872 ,2.03528 ,1.34656 ,-0.01587 ,35.61225 ,20250630 ,24040650 ,24040650010005 ,21.70000 ,1.80000 ,0.296587104,61.55171619
10701,946275.9156,1688699.909,946375.9156,1688599.909,74,69,0.78183 ,4.27156 ,3.48972 ,0.04361 ,37.84853 ,20250630 ,24040720 ,24040720010007 ,20.40000 ,1.90000 ,0.33726848,48.43419875
14732,948875.9156,1685999.909,948975.9156,1685899.909,101,95,0.82920 ,1.47581 ,0.64661 ,-0.00792 ,35.05278 ,20250630 ,24040690 ,24040690020003 ,28.20000 ,1.60000 ,0.274437568,89.23737374
14246,948575.9156,1688399.909,948675.9156,1688299.909,77,92,0.83534 ,2.86033 ,2.02498 ,-0.00122 ,36.43730 ,20250630 ,24040640 ,24040640010003 ,9.60000 ,0.80000 ,0.232959576,66.19950194
14727,948875.9156,1686499.909,948975.9156,1686399.909,96,95,0.94273 ,1.90724 ,0.96450 ,-0.00194 ,35.48421 ,20250630 ,24040680 ,24040680020303 ,20.30000 ,0.50000 ,0.274244739,98.9125
4667,942375.9156,1691499.909,942475.9156,1691399.909,46,30,1.04745 ,2.88177 ,1.83432 ,0.03702 ,36.45874 ,20250630 ,24040820 ,24040820050106 ,1.40000 ,0.00000 ,0.241526478,36.08787879
11171,946575.9156,1687899.909,946675.9156,1687799.909,82,72,1.04780 ,1.17683 ,0.12903 ,-0.01522 ,34.75380 ,20250630 ,24040660 ,24040660010001 ,15.70000 ,1.50000 ,0.323678119,57.67624113
7172,943975.9156,1687399.909,944075.9156,1687299.909,87,46,1.07729 ,2.47586 ,1.39857 ,-0.02822 ,36.05283 ,20250630 ,24040590 ,24040590010701 ,32.60000 ,0.40000 ,0.253007519,66.53551913
14572,948775.9156,1686599.909,948875.9156,1686499.909,95,94,1.09111 ,1.77551 ,0.68440 ,0.00497 ,35.35249 ,20250630 ,24040680 ,24040680020302 ,23.00000 ,0.50000 ,0.271910161,91.94155844
7938,944475.9156,1687799.909,944575.9156,1687699.909,83,51,1.16058 ,1.38010 ,0.21953 ,0.05024 ,34.95707 ,20250630 ,24040570 ,24040570020005 ,11.00000 ,1.80000 ,0.309068855,47.61087029
4824,942475.9156,1691199.909,942575.9156,1691099.909,49,31,1.17071 ,2.50531 ,1.33460 ,0.01421 ,36.08228 ,20250630 ,24040820 ,24040820050203 ,6.00000 ,0.50000 ,0.265962112,37.25925926
8104,944575.9156,1686599.909,944675.9156,1686499.909,95,52,1.20407 ,3.15453 ,1.95046 ,-0.02860 ,36.73150 ,20250630 ,24040590 ,24040590010006 ,18.50000 ,1.80000 ,0.264543438,45.08223201
14555,948775.9156,1688299.909,948875.9156,1688199.909,78,94,1.26520 ,4.10011 ,2.83491 ,-0.04392 ,37.67708 ,20250630 ,24040640 ,24040640010501 ,9.80000 ,0.00000 ,0.290493095,78.31496063
5780,943075.9156,1687999.909,943175.9156,1687899.909,81,37,1.32646 ,2.52955 ,1.20309 ,0.01252 ,36.10652 ,20250630 ,24040600 ,24040600010404 ,65.80000 ,0.40000 ,0.208665396,55.7755102
14556,948775.9156,1688199.909,948875.9156,1688099.909,79,94,1.35850 ,3.83039 ,2.47189 ,-0.03597 ,37.40736 ,20250630 ,24040640 ,24040640010502 ,10.40000 ,0.00000 ,0.237573507,72.73770492
14581,948775.9156,1685699.909,948875.9156,1685599.909,104,94,1.40791 ,1.50460 ,0.09669 ,-0.01111 ,35.08157 ,20250630 ,24040690 ,24040690020007 ,23.30000 ,2.20000 ,0.246879354,75.36403897
14247,948575.9156,1688299.909,948675.9156,1688199.909,78,92,1.44495 ,4.69266 ,3.24771 ,-0.00487 ,38.26963 ,20250630 ,24040640 ,24040640010503 ,7.80000 ,0.00000 ,0.214072473,70.44318182
4559,942275.9156,1686899.909,942375.9156,1686799.909,92,29,1.49462 ,2.75512 ,1.26050 ,-0.00947 ,36.33209 ,20250630 ,24040610 ,24040610021201 ,7.90000 ,0.00000 ,0.221172799,42.73684211
5298,942775.9156,1689999.909,942875.9156,1689899.909,61,34,1.53001 ,2.65277 ,1.12276 ,-0.03390 ,36.22974 ,20250630 ,24040800 ,24040800020004 ,20.60000 ,2.50000 ,0.332210551,27.12909753
14871,948975.9156,1687499.909,949075.9156,1687399.909,86,96,1.58174 ,3.76049 ,2.17876 ,0.01241 ,37.33746 ,20250630 ,24040640 ,24040640020201 ,8.50000 ,0.00000 ,0.261132356,80.49765258
