id,left,top,right,bottom,row_index,col_index,20R_mean,25R_mean,dRL_mean,dNB_mean,Abs_mean,BASE_DATE,ADM_CD,TOT_OA_CD,SGIS_Maste,SGIS_Mas_1,SGIS_Mas_2,SGIS_Mas_3,JOIN_CD,JOIN_KEY
20,939375.915623063,1694199.90909134,939475.915623063,1694099.90909134,19,0,,,,,,,,,,,,,,
21,939375.915623063,1694099.90909134,939475.915623063,1693999.90909134,20,0,,,,,,,,,,,,,,
22,939375.915623063,1693999.90909134,939475.915623063,1693899.90909134,21,0,,,,,,,,,,,,,,
23,939375.915623063,1693899.90909134,939475.915623063,1693799.90909134,22,0,,,,,,,,,,,,,,
24,939375.915623063,1693799.90909134,939475.915623063,1693699.90909134,23,0,,,,,,,,,,,,,,
25,939375.915623063,1693699.90909134,939475.915623063,1693599.90909134,24,0,,,,,,,,,,,,,,
26,939375.915623063,1693599.90909134,939475.915623063,1693499.90909134,25,0,,,,,,,,,,,,,,
27,939375.915623063,1693499.90909134,939475.915623063,1693399.90909134,26,0,,,,,,,,,,,,,,
28,939375.915623063,1693399.90909134,939475.915623063,1693299.90909134,27,0,,,,,,,,,,,,,,
29,939375.915623063,1693299.90909134,939475.915623063,1693199.90909134,28,0,,,,,,,,,,,,,,
30,939375.915623063,1693199.90909134,939475.915623063,1693099.90909134,29,0,,,,,,,,,,,,,,
31,939375.915623063,1693099.90909134,939475.915623063,1692999.90909134,30,0,,,,,,,,,,,,,,
32,939375.915623063,1692999.90909134,939475.915623063,1692899.90909134,31,0,,,,,,,,,,,,,,
33,939375.915623063,1692899.90909134,939475.915623063,1692799.90909134,32,0,3.79262435436249,-0.233536809682846,-4.02616107463837,0.0414792373776436,33.3434352874756,"20250630","24040810","24040810020002","24040810020002","0.0","0.8","24040810020002","24040810020002","24040810020002"
34,939375.915623063,1692799.90909134,939475.915623063,1692699.90909134,33,0,,,,,,,,,,,,,,
35,939375.915623063,1692699.90909134,939475.915623063,1692599.90909134,34,0,,,,,,,,,,,,,,
36,939375.915623063,1692599.90909134,939475.915623063,1692499.90909134,35,0,,,,,,,,,,,,,,
37,939375.915623063,1692499.90909134,939475.915623063,1692399.90909134,36,0,,,,,,,,,,,,,,
38,939375.915623063,1692399.90909134,939475.915623063,1692299.90909134,37,0,,,,,,,,,,,,,,
39,939375.915623063,1692299.90909134,939475.915623063,1692199.90909134,38,0,,,,,,,,,,,,,,
40,939375.915623063,1692199.90909134,939475.915623063,1692099.90909134,39,0,,,,,,,,,,,,,,
41,939375.915623063,1692099.90909134,939475.915623063,1691999.90909134,40,0,,,,,,,,,,,,,,
42,939375.915623063,1691999.90909134,939475.915623063,1691899.90909134,41,0,,,,,,,,,,,,,,
43,939375.915623063,1691899.90909134,939475.915623063,1691799.90909134,42,0,,,,,,,,,,,,,,
44,939375.915623063,1691799.90909134,939475.915623063,1691699.90909134,43,0,,,,,,,,,,,,,,
45,939375.915623063,1691699.90909134,939475.915623063,1691599.90909134,44,0,,,,,,,,,,,,,,
46,939375.915623063,1691599.90909134,939475.915623063,1691499.90909134,45,0,,,,,,,,,,,,,,
47,939375.915623063,1691499.90909134,939475.915623063,1691399.90909134,46,0,,,,,,,,,,,,,,
